id,codigo_producto,referencia,descripcion,subtipo_anterior,subtipo_nuevo
2727,3.6878.004.0,IROLL 65 ANILLO ANTIDESLUMBRANTE BL,ANILLO ANTIDESLUMBRANTE PARA ÓPTICA SPOT FIJA - COLOR: NEGRO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2728,3.6938.000.0,LEDPLUS CARCASA EXTERIOR CON TAPA FINAL,CARCASA EXTERIOR PARA MONTAJE EN PAREDES DE HORMIGÓN + TAPA FINAL - COLOR: INDETERMINADO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2729,3.6939.000.0,LEDPLUS CARCASA EXTERIOR CON TAPA FINAL,CARCASA EXTERIOR PARA MONTAJE EN SUELOS + TAPA FINAL - COLOR: INDETERMINADO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2730,3.6940.000.0,LEDPLUS CARCASA CILINDRICA,CARCASA CILÍNDRICA PARA PLADUR O PAREDES SIMILARES - COLOR: INDETERMINADO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2731,3.6941.004.0,LEDPLUS CARCASA EXTERIOR CON TAPA FINAL BL,CARCASA EXTERIOR DE ALUMINIO PARA INSTALACIÓN EN PARED + TAPA FINAL - COLOR: NEGRO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2732,3.6942.004.0,LEDPLUS CARCASA EXTERIOR CON TAPA FINAL BL,CARCASA EXTERIOR DE ALUMINIO PARA INSTALACIÓN EN EL PISO + TAPA FINAL - COLOR: NEGRO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2733,3.6943.004.0,LEDPLUS CARCASA EXTERIOR CON TAPA FINAL BL,CARCASA DE PLÁSTICO PARA INSTALACIÓN EN PARED Y PISO + TAPA FINAL IP68 - COLOR: NEGRO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2734,3.6944.004.0,LEDPLUS CARCASA EXTERIOR CON TAPA FINAL BL,CARCASA EXTERIOR DE ALUMINIO PARA INSTALACIÓN EN PARED + TAPA FINAL - COLOR: NEGRO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2735,3.6945.004.0,LEDPLUS CARCASA EXTERIOR CON TAPA FINAL BL,CARCASA EXTERIOR DE ALUMINIO PARA INSTALACIÓN EN EL PISO + TAPA FINAL - COLOR: NEGRO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2736,3.6946.004.0,LEDPLUS CARCASA EXTERIOR CON TAPA FINAL BL,CARCASA DE PLÁSTICO PARA INSTALACIÓN EN PARED Y PISO + TAPA FINAL IP68 - COLOR: NEGRO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2738,3.9400.015.0,ISIGN SOPORTES PARA INSTALACIÓN  GR,PAR DE SOPORTES DE PLÁSTICO PARA APLICACIÓN EN TECHO / PARED - MATERIAL PLÁSTICO PARA APLICACIÓN EN TECHO / PARED - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2739,3.9401.015.0,ISIGN FUENTE DE ALIMENTACIÓN 5 POLOS GR,FUENTE DE ALIMENTACIÓN DE 5 POLOS - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2740,3.9402.015.0,ISIGN FUENTE DE ALIMENTACIÓN 5 POLOS CON CABLE GR,FUENTE DE ALIMENTACIÓN DE 5 POLOS CON CABLES PARA SUSPENSIÓN HORIZONTAL SIMPLE L = 1500 - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2741,3.9403.015.0,ISIGN CABLE PARA SUSPENSION L 1500,CABLE PARA SUSPENSIÓN HORIZONTAL SIMPLE L = 1500 - COLOR: INDETERMINADO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2742,3.9408.015.0,ISIGN FUENTE DE ALIMENTACIÓN 5 POLOS CON CABLE GR,FUENTE DE ALIMENTACIÓN DE 5 POLOS CON CABLES PARA SUSPENSIÓN HORIZONTAL DOBLE L = 1500 - SE DEBE PEDIR CON EL CÓDIGO 9409 - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2743,3.9409.000.0,ISIGN CABLE PARA DOBLE SUSPENSIÓN L 1500,CABLE PARA DOBLE SUSPENSIÓN HORIZONTAL L = 1500 - COLOR: INDETERMINADO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2744,3.9410.015.0,ISIGN FUENTE DE ALIMENTACIÓN 5 POLOS CON CABLE GR,FUENTE DE ALIMENTACIÓN DE 5 POLOS CON CABLES PARA SUSPENSIÓN VERTICAL SIMPLE L = 1500 - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2745,3.9499.015.0,ISIGN SOPORTES PARA INSTALACIÓN  GR,PAR DE SOPORTES DE PLÁSTICO PARA APLICACIÓN EN TECHO / PARED - ALUMINIO PARA INSTALACIÓN EN TECHO / PARED - COLOR: GRIS,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2746,3.9513.004.0,PERROQUET ANILLO DE DERRAME BL,ANILLO DE DERRAME - COLOR: NEGRO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2747,3.9514.004.0,PERROQUET PANTALLA ANTIDESLUMBRANTE 30º BL,PANTALLA ANTIDESLUMBRANTE 30 ° - COLOR: NEGRO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2748,3.9515.004.0,PERROQUET PANTALLA ANTIDESLUMBRANTE 30º BL,PANTALLA ANTIDESLUMBRANTE 30 ° - COLOR: NEGRO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2749,3.9516.024.0,PERROQUET FILTRO UV TRANSP CL,FILTRO UV - COLOR: TRANSPARENTE CLARO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2750,3.9528.004.0,PERROQUET ALETAS DIRECCIONALES HORIZONTALES BL,ALETAS DIRECCIONALES HORIZONTALES - COLOR: NEGRO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2751,3.9529.004.0,PERROQUET ALETAS DIRECCIONALES HORIZONTALES BL,ALETAS DIRECCIONALES HORIZONTALES - COLOR: NEGRO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
2752,3.9530.004.0,PERROQUET ALETAS DIRECCIONALES HORIZONTALES BL,ALETAS DIRECCIONALES HORIZONTALES - COLOR: NEGRO,ACCESORIO DE ILUMINACIÓN,ACCESORIO DE ILUMINACION
